~from,~to,~label
MLKSVH0BDT,5.42E+15,has_card
IHB68AUFMI,4.42E+15,has_card
JG0YIQ8SSR,7.30E+15,has_card
NGGTHMJXUG,9.80E+14,has_card
4N5NRQGNAZ,4.68E+15,has_card
0LPJS733QC,6.29E+14,has_card
377HUVCL5K,1.49E+15,has_card
5UTIPEGDL6,3.79E+15,has_card
WKFLW4EFWR,8.21E+15,has_card
2R3SNXILST,5.01E+15,has_card
7JL6NC33HJ,1.30E+15,has_card
0C78EW4S1E,4.62E+15,has_card
X5U5JNL239,6.56E+15,has_card
RBS0VUD5U3,6.49E+14,has_card
54MEI4SWMY,6.26E+15,has_card
LBKZS94X5S,5.84E+15,has_card
XTN5KRUFZP,7.14E+15,has_card
C8RZ3QEY9E,1.78E+15,has_card
FNP5IKMPI4,7.99E+15,has_card
AYUVKIC7IA,2.26E+15,has_card
JCEU45X68H,6.88E+15,has_card
YYQM0WYUEC,9.14E+15,has_card
0HV9PJP65I,9.41E+15,has_card
XHKZ94J7SF,8.83E+15,has_card
MLKSVH0BDT,8.66E+15,has_card
5UTIPEGDL6,4.31E+15,has_card
0C78EW4S1E,4.00E+15,has_card
XHKZ94J7SF,3.43E+15,has_card
MTA71BJBGS,9.49E+15,has_card
YYQM0WYUEC,7.13E+15,has_card
0HV9PJP65I,4.27E+15,has_card
11JMTJBGEJ,6.56E+15,has_card
X5U5JNL239,2.82E+15,has_card
AU7QTUSVZC,2.71E+15,has_card
RBS0VUD5U3,4.21E+15,has_card
10JULVYHIO,8.84E+15,has_card
I5UXCEV8LG,8.83E+15,has_card
95CJ7L1WD1,3.86E+14,has_card
FT62OVDUJV,1.29E+15,has_card
4A78XVGOIF,9.72E+15,has_card
D0P5R7FJ15,8.07E+15,has_card
5UTIPEGDL6,8.86E+15,has_card
EJJGL9VR3Q,1.40E+15,has_card
N5FTP4383Z,1.33E+15,has_card
I5UXCEV8LG,3.18E+15,has_card
FT62OVDUJV,5.72E+15,has_card
CTPTM3FBPH,6.10E+14,has_card
KO2NEX0ME8,3.46E+15,has_card
95CJ7L1WD1,3.78E+15,has_card
8URGZQ30PS,2.30E+15,has_card
