~from,~to,~label
4758385959,ibE5cDL@icici,owns
1855704968,7217820341@ybl,owns
4.62E+15,6QvYYGe@icici,owns
4.00E+15,7217820341@paytm,owns
3801409974,9075258793@ybl,owns
1020914968,9075258793@paytm,owns
8052098570,9075258793@okaxis,owns
8769339727,60jvWIZ@sbi,owns
7525467321,9075258793@okaxis,owns
731559909,7296373050@okaxis,owns
9.41E+15,7296373050@paytm,owns
4.27E+15,7296373050@paytm,owns
5375731077,7296373050@okaxis,owns
7141595488,9866212826@paytm,owns
6.29E+14,9866212826@paytm,owns
9200060592,9075258793@okaxis,owns
8.84E+15,9075258793@ybl,owns
629803814,6016988534@paytm,owns
6.56E+15,6016988534@okaxis,owns
8322961341,9695246147@hdfcbank,owns
8095881096,9695246147@okaxis,owns
3390621021,NQ8BlSG@icici,owns
4061276184,7450445058@hdfcbank,owns
5.01E+15,7450445058@ybl,owns
3699057972,7893618411@paytm,owns
8518415961,7893618411@paytm,owns
9305299039,9620943191@okaxis,owns
7840226774,9620943191@ybl,owns
6594102840,9620943191@okaxis,owns
2084188984,9620943191@okaxis,owns
603781749,9620943191@paytm,owns
4071033148,9522845304@hdfcbank,owns
1139877031,9522845304@paytm,owns
1.49E+15,9522845304@hdfcbank,owns
209596923,8963815383@hdfcbank,owns
6226301092,8963815383@hdfcbank,owns
17872794,8963815383@paytm,owns
265345652,xpK9Ebg@sbi,owns
9.72E+15,8416342302@ybl,owns
4905173739,7764554212@okaxis,owns
6201301214,7764554212@okaxis,owns
5433787323,nxljTX7@sbi,owns
4.68E+15,7764554212@paytm,owns
7329082236,7357185559@paytm,owns
4418178016,7357185559@paytm,owns
6.26E+15,7357185559@okaxis,owns
7959763742,9075258793@paytm,owns
4221514785,9075258793@paytm,owns
7131787255,9075258793@paytm,owns
1989839604,8475711244@okaxis,owns
3.79E+15,Od9jE2a@sbi,owns
4.31E+15,8475711244@paytm,owns
8.86E+15,XbrfilO@sbi,owns
6744006424,k1B0axY@sbi,owns
9871425647,7296373050@hdfcbank,owns
3037692423,7296373050@paytm,owns
3070335834,7797767385@okaxis,owns
249655853,7797767385@okaxis,owns
1.30E+15,7797767385@ybl,owns
3068033229,7799109708@ybl,owns
7883464396,lrzMVAY@icici,owns
7953276311,7799109708@paytm,owns
3612980655,7831767999@ybl,owns
7687377460,7831767999@hdfcbank,owns
4689821799,7831767999@okaxis,owns
5568240340,hyPfeV7@hdfcbank,owns
2364246989,9853214700@ybl,owns
9328711903,9853214700@paytm,owns
9328711903,9853214700@hdfcbank,owns
6555873577,7296373050@okaxis,owns
2613525678,7296373050@okaxis,owns
3677342648,7296373050@ybl,owns
6694090060,6380263382@okaxis,owns
5455162144,6380263382@ybl,owns
2.30E+15,6380263382@ybl,owns
5089612219,wJ6jBGK@hdfcbank,owns
4727136073,ZnSnzF4@icici,owns
8121242677,7763984213@hdfcbank,owns
3.86E+14,7763984213@paytm,owns
3.78E+15,7763984213@okaxis,owns
5989772951,pw7b4WS@sbi,owns
5212405945,8312198171@hdfcbank,owns
3121667784,8312198171@hdfcbank,owns
3817901781,7577313571@hdfcbank,owns
9232107515,7577313571@paytm,owns
2.71E+15,7577313571@paytm,owns
1174341250,xAtRSIg@hdfcbank,owns
1503316043,7450445058@ybl,owns
8654712098,7450445058@ybl,owns
2.26E+15,7450445058@paytm,owns
1145417794,6565470973@hdfcbank,owns
8122671225,6565470973@paytm,owns
6714344825,6565470973@ybl,owns
6709263686,8439469188@hdfcbank,owns
4226799165,8439469188@ybl,owns
9589958684,aZozt7u@hdfcbank,owns
6232388080,8439469188@okaxis,owns
2072274187,BIscNf7@hdfcbank,owns
1.78E+15,8017535595@hdfcbank,owns
331262995,9551987888@hdfcbank,owns
3941927987,9551987888@hdfcbank,owns
528209209,VYCAM5e@sbi,owns
8669013223,OYWfOsh@sbi,owns
5727661169,8056629010@hdfcbank,owns
1830857065,8056629010@ybl,owns
4967800021,8056629010@hdfcbank,owns
8487548901,TRl2ltX@hdfcbank,owns
6.10E+14,Tuw1XWV@hdfcbank,owns
8.07E+15,8476642070@ybl,owns
9924028547,iUXb3Mk@icici,owns
9952344700,7JEaRY1@icici,owns
7126310065,8879314278@paytm,owns
8649824609,AlpZip5@icici,owns
151320649,8471605723@ybl,owns
9358013742,THYOSCK@sbi,owns
1.40E+15,8471605723@okaxis,owns
7354860873,WgC0kej@sbi,owns
8639258019,8590195237@ybl,owns
959814688,6361393474@hdfcbank,owns
6522905352,6361393474@okaxis,owns
7504451414,kMGo9XM@hdfcbank,owns
3487820542,t54hLPC@sbi,owns
6229072389,7207110992@paytm,owns
1201396089,IOCvnQR@icici,owns
6061774591,6193692209@ybl,owns
7288956902,6193692209@hdfcbank,owns
7.99E+15,6193692209@okaxis,owns
2312313609,RyVvWtK@icici,owns
9783537141,6166141049@ybl,owns
4212960551,tCoQvhz@sbi,owns
6019622857,6166141049@paytm,owns
1.29E+15,6166141049@okaxis,owns
5.72E+15,NAo0MKR@sbi,owns
2312313609,47N854I@hdfcbank,owns
4184090411,YI0IdJL@sbi,owns
4184090411,7450445058@hdfcbank,owns
482972226,8F46fDs@hdfcbank,owns
2247385736,bbcnkmi@sbi,owns
3155977631,7450445058@ybl,owns
8350859236,3h52hNa@icici,owns
8091338319,9524356932@ybl,owns
949339491,OMdX2mT@icici,owns
6699127198,9465199714@okaxis,owns
3971066640,9465199714@okaxis,owns
732235839,z5aRvkN@sbi,owns
9243597560,9465199714@ybl,owns
732235839,9465199714@paytm,owns
4767291361,9075258793@paytm,owns
534668300,6256361730@hdfcbank,owns
8369774990,6256361730@paytm,owns
8.83E+15,9886232780@ybl,owns
3.18E+15,9886232780@paytm,owns
1078844762,9114058337@okaxis,owns
8927209846,6797920394@hdfcbank,owns
4.42E+15,6797920394@okaxis,owns
7193371836,6042917649@ybl,owns
7100745923,Z2oB2h0@sbi,owns
5323468016,LSJuXVy@icici,owns
1400965845,8755203700@hdfcbank,owns
4080087380,7cNkubA@hdfcbank,owns
6.88E+15,8878877403@ybl,owns
4354983052,9853214700@hdfcbank,owns
7.30E+15,9853214700@okaxis,owns
7865874141,8322479528@okaxis,owns
3.46E+15,8322479528@okaxis,owns
5155116366,7496930537@hdfcbank,owns
6574328393,7496930537@ybl,owns
1384644314,TN9ytPM@sbi,owns
4855694953,7496930537@okaxis,owns
5155116366,7496930537@hdfcbank,owns
5238741908,RBXLHCC@hdfcbank,owns
8673158655,hBEajjm@sbi,owns
5238741908,RUoZ0W4@sbi,owns
5.84E+15,6821332249@paytm,owns
6926257555,6427787479@ybl,owns
6767125103,6427787479@hdfcbank,owns
5.42E+15,y7ZZMGD@hdfcbank,owns
8.66E+15,6427787479@okaxis,owns
9.49E+15,7322852635@ybl,owns
2482418274,6798783775@ybl,owns
8343972218,i8g7WuY@icici,owns
1.33E+15,6680755445@ybl,owns
5339154823,9906026265@ybl,owns
4045100193,9906026265@hdfcbank,owns
366804467,9906026265@paytm,owns
9.80E+14,9906026265@okaxis,owns
9035332719,7619709737@okaxis,owns
2509807437,9551987888@hdfcbank,owns
7776708261,7149348997@hdfcbank,owns
4304735682,7057850237@paytm,owns
190154632,7057850237@hdfcbank,owns
9658467927,1O99gc9@sbi,owns
8737204692,bbkxnSd@sbi,owns
6633974777,7976237960@hdfcbank,owns
9658467927,7976237960@ybl,owns
1722917660,7450445058@okaxis,owns
3779835542,chdfHvu@hdfcbank,owns
7853006030,7450445058@ybl,owns
2831525704,kibCXCO@sbi,owns
364463015,UkHKk9t@hdfcbank,owns
6.49E+14,9170657314@paytm,owns
4.21E+15,9170657314@hdfcbank,owns
6.49E+14,m4S13Fg@icici,owns
9194123044,9075258793@okaxis,owns
1407311361,9075258793@ybl,owns
1458832078,9075258793@paytm,owns
8810863485,7206101006@hdfcbank,owns
3388080061,7108653611@okaxis,owns
2765532497,7108653611@okaxis,owns
1699014796,6611564697@hdfcbank,owns
9899285627,6611564697@hdfcbank,owns
253114793,8917520929@ybl,owns
1286129718,8917520929@hdfcbank,owns
1415084511,9784631865@hdfcbank,owns
4654696678,9784631865@ybl,owns
4692379471,9784631865@ybl,owns
90551313,9784631865@hdfcbank,owns
8.21E+15,9784631865@ybl,owns
6035194010,Kym8esd@sbi,owns
5933475005,7450445058@hdfcbank,owns
5250544689,LuIaB5w@icici,owns
7759164778,7450445058@okaxis,owns
830305286,v285M7h@sbi,owns
8193153560,8416357428@okaxis,owns
1576767887,8030792447@hdfcbank,owns
6.56E+15,8030792447@hdfcbank,owns
2.82E+15,8030792447@ybl,owns
2555437111,wE5yiek@sbi,owns
5577299321,7933983263@paytm,owns
8.83E+15,7933983263@okaxis,owns
3.43E+15,7933983263@ybl,owns
3876807333,8609616362@okaxis,owns
6705910355,8609616362@hdfcbank,owns
776752501,tBzJ31p@sbi,owns
7.14E+15,8609abdc2@paytm,owns
3876807333,8609616362@okaxis,owns
2697207860,9041211410@paytm,owns
2695673450,9041211410@ybl,owns
6286272933,9041abc@paytm,owns
9047944288,DXdbC59@hdfcbank,owns
5037578621,6739597419@paytm,owns
9.14E+15,673900abc@paytm,owns
7.13E+15,6739597419@hdfcbank,owns
6786096697,7147522791@okaxis,owns
5569924201,XAIwxug@icici,owns
253796235,JvW7feS@icici,owns
4079812475,6161600934@hdfcbank,owns
6731960643,616abc@hdfcbank,owns
9142068192,6161600934@paytm,owns
6228083119,6161600934@ybl,owns
