~from,~to,~label,sender_instrument_id,sender_user_id,sender_device_imei,amount:Double,ip_city,timestamp,status,fraud_flag:Boolean,receiver_instrument_id,receiver_user_id
bbcnkmi@sbi,9620943191@paytm,transaction,2247385736,G1INSL6E47,BDB75AF85E35D39C,22816.47,Kanpur,27:16.5,decline,FALSE,603781749,3126CAAR0Q
bbkxnSd@sbi,9620943191@okaxis,transaction,8737204692,PUC18KDCCM,283B8F12B3E47170,30009.55,Bangalore,27:16.5,accept,FALSE,2084188984,3126CAAR0Q
6739597419@paytm,8017535595@hdfcbank,transaction,5037578621,YYQM0WYUEC,9343CF577BECF74A,25103.43,Kolkata,27:16.5,accept,FALSE,1.78E+15,YYQM0WYUEC
6QvYYGe@icici,7149348997@hdfcbank,transaction,4.62E+15,0C78EW4S1E,803FDE62DB78A333,6486.16,Kanpur,27:16.5,decline,TRUE,7776708261,OM2A1C7ZD7
6166141049@ybl,9465199714@okaxis,transaction,9783537141,FT62OVDUJV,9A578AC8C60E8202,23927.92,Pune,27:16.5,accept,FALSE,3971066640,GN02GZV81Z
6161600934@ybl,6256361730@paytm,transaction,6228083119,Z7NJNFCRD2,3E843D3311FF587C,31413.65,Delhi,27:16.5,accept,TRUE,8369774990,Z7NJNFCRD2
9522845304@paytm,7577313571@hdfcbank,transaction,1139877031,377HUVCL5K,AD3422F1662EF3F5,31726.91,Jaipur,27:16.5,accept,FALSE,3817901781,AU7QTUSVZC
JvW7feS@icici,9853214700@hdfcbank,transaction,253796235,Z7NJNFCRD2,FD2E9B745A2D63E3,15057.67,Chennai,27:16.5,accept,FALSE,9328711903,8565QRB96S
7797767385@ybl,9075258793@okaxis,transaction,1.30E+15,7JL6NC33HJ,FF3966620681B94C,35229.92,Chennai,27:16.5,accept,TRUE,9194123044,7JL6NC33HJ
Z2oB2h0@sbi,6611564697@hdfcbank,transaction,7100745923,IN9FP0A875,538DAA0577C45058,2498.17,Kolkata,27:16.5,decline,FALSE,9899285627,U6VL0H3I10
9866212826@paytm,7450445058@hdfcbank,transaction,7141595488,0LPJS733QC,6692B5BAC1726B9F,152.92,Pune,27:16.5,accept,FALSE,5933475005,WQFJALTLIV
7450445058@ybl,8312198171@hdfcbank,transaction,5.01E+15,2R3SNXILST,B4B26E3B56A87D5A,35072.59,Delhi,27:16.5,decline,FALSE,5212405945,2R3SNXILST
tCoQvhz@sbi,pw7b4WS@sbi,transaction,4212960551,FT62OVDUJV,D8926C6289C6C1DE,18151.69,Bhopal,27:16.5,accept,FALSE,5989772951,96GRFN79K4
7450445058@ybl,9524356932@ybl,transaction,7853006030,R321IUUSYI,AAE40F626A275C5A,32230.78,Ahmedabad,27:16.5,decline,TRUE,8091338319,GDSD32B1JS
8963815383@paytm,6256361730@hdfcbank,transaction,17872794,3LD94XNHBJ,C468FCF0E52B6387,44748.76,Mumbai,27:16.5,decline,FALSE,534668300,HL2HRWB9EV
8963815383@hdfcbank,7450445058@ybl,transaction,209596923,3LD94XNHBJ,4E99FA424FA28807,14365.73,Thane,27:16.5,accept,FALSE,8654712098,AYUVKIC7IA
6427787479@hdfcbank,wE5yiek@sbi,transaction,6767125103,MLKSVH0BDT,DAFDBC5F1EC20232,42156.22,Bhopal,27:16.5,accept,FALSE,2555437111,XHKZ94J7SF
9906026265@paytm,7976237960@hdfcbank,transaction,366804467,NGGTHMJXUG,5D1D80B86B9E9CCF,3519.55,Kanpur,27:16.5,decline,FALSE,6633974777,PUC18KDCCM
AlpZip5@icici,8471605723@ybl,transaction,8649824609,EHUHFS2UB3,8B68A605E6D381B8,16.13,Nagpur,27:16.5,accept,FALSE,151320649,EJJGL9VR3Q
6797920394@okaxis,9114058337@okaxis,transaction,4.42E+15,IHB68AUFMI,C7131708439295A5,28835.73,Surat,27:16.5,decline,FALSE,1078844762,IHB68AUFMI
NQ8BlSG@icici,9114058337@okaxis,transaction,3390621021,2R3SNXILST,C5BE5A5B10FCD69E,27111.75,Kanpur,27:16.5,accept,FALSE,1078844762,IBSI743RLX
9114058337@okaxis,7450445058@hdfcbank,transaction,1078844762,IBSI743RLX,253D1D5C7EA760B3,5686.65,Ahmedabad,27:16.5,accept,FALSE,5933475005,WQFJALTLIV
7763984213@hdfcbank,JvW7feS@icici,transaction,8121242677,95CJ7L1WD1,7B03751B3A846AAE,13791.4,Surat,27:16.5,accept,FALSE,253796235,Z7NJNFCRD2
7450445058@okaxis,9075258793@okaxis,transaction,7759164778,WQFJALTLIV,6E02CE91BF30F055,43799.71,Thane,27:16.5,accept,FALSE,9200060592,10JULVYHIO
YI0IdJL@sbi,y7ZZMGD@hdfcbank,transaction,4184090411,FUUO9JKDQP,1A09A971CF602958,1122.27,Chennai,27:16.5,accept,FALSE,5.42E+15,MLKSVH0BDT
9075258793@ybl,9522845304@paytm,transaction,1407311361,RRZ4G78NHW,B71067B3B9E10130,29116.39,Bhopal,27:16.5,accept,FALSE,1139877031,377HUVCL5K
9620943191@paytm,8471605723@ybl,transaction,603781749,3126CAAR0Q,8139FFF8A917522E,7245.03,Thane,27:16.5,accept,FALSE,151320649,EJJGL9VR3Q
9522845304@hdfcbank,LSJuXVy@icici,transaction,4071033148,377HUVCL5K,63F8B1B57B0F1830,40850.17,Visakhapatnam,27:16.5,accept,FALSE,5323468016,IN9FP0A875
7322852635@ybl,7619709737@okaxis,transaction,9.49E+15,MTA71BJBGS,A76CF800E4F36AFD,32719.04,Bhopal,27:16.5,accept,FALSE,9035332719,MTA71BJBGS
6380263382@ybl,7893618411@paytm,transaction,5455162144,8URGZQ30PS,FD58A28E95447770,13625.14,Jaipur,27:16.5,decline,FALSE,8518415961,2RQPTNJXGW
9906026265@paytm,9620943191@okaxis,transaction,366804467,NGGTHMJXUG,5D1D80B86B9E9CCF,3206.86,Jaipur,27:16.5,decline,FALSE,9305299039,3126CAAR0Q
xAtRSIg@hdfcbank,7357185559@paytm,transaction,1174341250,AYUVKIC7IA,D8488EE643F99EC6,17694.12,Lucknow,27:16.5,accept,FALSE,4418178016,54MEI4SWMY
60jvWIZ@sbi,8609616362@okaxis,transaction,8769339727,0CTDUUVBUC,55C82C64CC0CC818,9718.97,Bangalore,27:16.5,decline,FALSE,3876807333,XTN5KRUFZP
8312198171@hdfcbank,9906026265@hdfcbank,transaction,3121667784,ATZLN3HG1G,76F572E5150CB855,34237.17,Mumbai,27:16.5,accept,FALSE,4045100193,NGGTHMJXUG
6380263382@okaxis,9853214700@paytm,transaction,6694090060,8URGZQ30PS,5A93ABC90A3C661C,30942.99,Bangalore,27:16.5,decline,FALSE,9328711903,8565QRB96S
8917520929@hdfcbank,LuIaB5w@icici,transaction,1286129718,VP6JZ7NS2N,29528FB5154C6E96,44723.48,Kolkata,27:16.5,accept,FALSE,5250544689,WQFJALTLIV
7797767385@okaxis,8439469188@ybl,transaction,249655853,7JL6NC33HJ,A60DDA02FFDD8C19,9107.74,Hyderabad,27:16.5,decline,FALSE,4226799165,BNM2U54F8R
9886232780@paytm,9041211410@paytm,transaction,3.18E+15,I5UXCEV8LG,D8488EE643F99EC6,31998.76,Kanpur,27:16.5,accept,FALSE,2697207860,Y0NALH82DY
9695246147@hdfcbank,YI0IdJL@sbi,transaction,8322961341,1REBBKOUIV,29528FB5154C6E96,37347.58,Bangalore,27:16.5,accept,FALSE,4184090411,FUUO9JKDQP
6739597419@hdfcbank,y7ZZMGD@hdfcbank,transaction,7.13E+15,YYQM0WYUEC,4E99FA424FA28807,1528.76,Hyderabad,27:16.5,decline,FALSE,5.42E+15,YYQM0WYUEC
6565470973@paytm,6193692209@okaxis,transaction,8122671225,BLZI9IWM3P,4755CA3BECDEE049,43905.95,Bhopal,27:16.5,accept,FALSE,7.99E+15,FNP5IKMPI4
9551987888@hdfcbank,9075258793@paytm,transaction,2509807437,OGQ8RBO7KO,EFF5BEA695A79CDC,28762.34,Bhopal,27:16.5,decline,FALSE,1020914968,0CTDUUVBUC
6256361730@hdfcbank,8322479528@okaxis,transaction,534668300,HL2HRWB9EV,1F00F2FC8B4C2C3B,19348.99,Kanpur,27:16.5,accept,FALSE,7865874141,KO2NEX0ME8
6797920394@hdfcbank,LuIaB5w@icici,transaction,8927209846,IHB68AUFMI,ADE5830173B3A1CC,40237.25,Delhi,27:16.5,decline,FALSE,5250544689,WQFJALTLIV
v285M7h@sbi,6565470973@paytm,transaction,830305286,WQFJALTLIV,6E02CE91BF30F055,4722.31,Jaipur,27:16.5,accept,FALSE,8122671225,BLZI9IWM3P
